ID,animal,fecha,time,altura,mo2ind,mo2gh,mo2gs_umol_h_gdrymass,dias,exper1,masa,fecha2,time2,dias2,masa_seca_gram
1,1,04/21/11,0.407986111,1.423798901,0.01059593,0.837622943,3.156610142,0,E1,12.65,40654.40799,0.407986111,0,3.3295629
2,1,04/21/11,0.454513889,1.250491331,0.01311311,1.036609467,3.906497527,0,E1,12.65,40654.45451,0.454513889,0,3.3295629
3,1,04/21/11,0.499305556,1.810099988,0.011282143,0.891869001,3.361038228,0,E1,12.65,40654.49931,0.499305556,0,3.3295629
4,1,04/21/11,0.542708333,2.882631518,0.007112195,0.562228863,2.11877832,0,E1,12.65,40654.54271,0.542708333,0,3.3295629
5,1,04/21/11,0.590277778,4.305108573,0.003471429,0.274421231,1.034165609,0,E1,12.65,40654.59028,0.590277778,0,3.3295629
6,1,04/21/11,0.619097222,5.101030447,0.024003659,1.897522414,7.15087683,0,E1,12.65,40654.6191,0.619097222,0,3.3295629
7,1,04/21/11,0.664583333,5.9801311,0.011499107,0.909020327,3.425673578,0,E1,12.65,40654.66458,0.664583333,0,3.3295629
8,1,04/21/11,0.69375,6.194288698,0.013451786,1.06338227,4.007391733,0,E1,12.65,40654.69375,0.69375,0,3.3295629
9,1,04/21/11,0.739236111,5.928591607,0.012001829,0.948761207,3.575438415,0,E1,12.65,40654.73924,0.739236111,0,3.3295629
10,1,04/21/11,0.767708333,5.431090324,0.012890854,1.019039815,3.840285705,0,E1,12.65,40654.76771,0.767708333,0,3.3295629
11,1,04/21/11,0.813888889,4.243277824,0.009329464,0.737507058,2.779320073,0,E1,12.65,40654.81389,0.813888889,0,3.3295629
12,1,04/21/11,0.843055556,3.382083527,0.017357143,1.372106155,5.170828043,0,E1,12.65,40654.84306,0.843055556,0,3.3295629
13,1,04/21/11,0.888888889,2.127859048,0.016568182,1.309737693,4.935790404,0,E1,12.65,40654.88889,0.888888889,0,3.3295629
14,1,04/21/11,0.966666667,1.100752259,0.011390625,0.900444664,3.393355903,0,E1,12.65,40654.96667,0.966666667,0,3.3295629
15,1,04/21/11,0.996527778,1.234981973,0.008632895,0.682442272,2.571806579,0,E1,12.65,40654.99653,0.996527778,0,3.3295629
131,1,04/22/11,1.024305556,1.623096359,0.005858036,0.463085827,1.745154464,0,E1,12.65,40656.02431,1.024305556,0,3.3295629
132,1,04/22/11,0.053125,2.0442784,0.006667683,0.527089559,1.986354675,1,E1,12.65,40655.05313,1.053125,0,3.3295629
133,1,04/22/11,0.101041667,3.236180732,0.012224085,0.966330859,3.641650237,1,E1,12.65,40655.10104,1.101041667,0,3.3295629
134,1,04/22/11,0.129861111,4.07127051,0.015621429,1.234895539,4.653745238,1,E1,12.65,40655.12986,1.129861111,0,3.3295629
135,1,04/22/11,0.159027778,4.74760463,0.008461607,0.66890175,2.520778671,1,E1,12.65,40655.15903,1.159027778,0,3.3295629
136,1,04/22/11,0.189583333,5.236524283,0.006141033,0.485457123,1.829461443,1,E1,12.65,40655.18958,1.189583333,0,3.3295629
137,1,04/22/11,0.242013889,5.376256231,0.009536337,0.753860649,2.840949128,1,E1,12.65,40655.24201,1.242013889,0,3.3295629
138,1,04/22/11,0.271527778,5.090896143,0.01366875,1.080533597,4.072027084,1,E1,12.65,40655.27153,1.271527778,0,3.3295629
139,1,04/22/11,0.350347222,3.49973121,0.004667378,0.368962692,1.390448272,1,E1,12.65,40655.35035,1.350347222,0,3.3295629
140,1,04/22/11,0.378819444,2.849411051,0.01422439,1.124457727,4.23755664,1,E1,12.65,40655.37882,1.378819444,0,3.3295629
